,device,time_start,time_stop,date,status,type
91,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 07:17:07.873620,Completed,analysis
92,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 07:47:08.198783,Completed,analysis
93,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 08:17:08.443985,Completed,analysis
94,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 08:47:08.687112,Completed,analysis
95,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 09:17:08.915118,Completed,analysis
96,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 09:47:09.561091,Completed,analysis
97,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 10:17:09.786734,Completed,analysis
98,69823,2020-07-12T07:39:34.363Z,2020-07-12T08:09:34.363Z,2020-07-13 06:09:50.780653,Completed,analysis
99,69823,2020-07-12T08:09:34.573Z,2020-07-12T08:39:34.573Z,2020-07-13 06:39:51.076328,Completed,analysis
100,69823,2020-07-12T08:39:34.926Z,2020-07-12T09:09:34.926Z,2020-07-13 07:09:51.415970,Completed,analysis
101,69823,2020-07-12T09:09:35.327Z,2020-07-12T09:39:35.327Z,2020-07-13 07:39:51.672923,Completed,analysis
102,69823,2020-07-12T09:39:35.466Z,2020-07-12T10:09:35.466Z,2020-07-13 08:09:51.915662,Completed,analysis
103,69823,2020-07-12T10:09:35.755Z,2020-07-12T10:39:35.755Z,2020-07-13 08:39:52.191097,Completed,analysis
104,69823,2020-07-12T10:39:36.065Z,2020-07-12T11:09:36.065Z,2020-07-13 09:09:52.668165,Completed,analysis
105,69823,2020-07-12T11:09:36.516Z,2020-07-12T11:39:36.516Z,2020-07-13 09:39:52.987959,Completed,analysis
106,69823,2020-07-12T11:39:36.818Z,2020-07-12T12:09:36.818Z,2020-07-13 10:09:53.278452,Completed,analysis
107,69823,2020-07-12T12:09:37.163Z,2020-07-12T12:39:37.163Z,2020-07-13 10:39:53.563258,Completed,analysis
108,69823,2020-07-12T12:39:37.572Z,2020-07-12T13:09:37.572Z,2020-07-13 11:09:54.009141,Completed,analysis
109,69823,2020-07-12T13:09:38.130Z,2020-07-12T13:39:38.130Z,2020-07-13 11:39:54.555081,Completed,analysis
110,69823,2020-07-12T13:39:38.526Z,2020-07-12T14:09:38.526Z,2020-07-13 12:09:55.040767,Completed,analysis
111,69823,2020-07-12T14:09:38.860Z,2020-07-12T14:39:38.860Z,2020-07-13 12:39:55.302276,Completed,analysis
112,69823,2020-07-12T14:39:39.115Z,2020-07-12T15:09:39.115Z,2020-07-13 13:09:55.550637,Completed,analysis
113,69823,2020-07-12T15:09:39.429Z,2020-07-12T15:39:39.429Z,2020-07-13 13:39:55.793973,Completed,analysis
114,69823,2020-07-12T15:39:39.685Z,2020-07-12T16:09:39.685Z,2020-07-13 14:09:56.041392,Completed,analysis
115,69823,2020-07-12T16:09:39.981Z,2020-07-12T16:39:39.981Z,2020-07-13 14:39:56.275450,Completed,analysis
116,69823,2020-07-13T07:10:40.440Z,2020-07-13T07:40:40.440Z,2020-07-14 05:40:57.580849,Completed,analysis
117,69823,2020-07-14T07:24:09.243Z,2020-07-14T07:54:09.243Z,2020-07-14 05:54:25.941071,Processing,analysis
118,69823,2020-07-14T07:54:09.708Z,2020-07-14T08:24:09.708Z,2020-07-14 06:24:26.375320,Processing,analysis
119,69823,2020-07-14T08:24:10.105Z,2020-07-14T08:54:10.105Z,2020-07-14 06:54:26.712979,Processing,analysis
120,69823,2020-07-14T08:54:10.403Z,2020-07-14T09:24:10.403Z,2020-07-14 07:24:26.976783,Processing,analysis
121,69823,2020-07-14T09:05:04.130Z,2020-07-14T09:35:04.130Z,2020-07-14 07:35:20.699916,Processing,analysis
122,69823,2020-07-14T09:50:42.884Z,2020-07-14T10:20:42.884Z,2020-07-14 08:20:59.490541,Processing,analysis
123,69823,2020-07-14T10:41:53.958Z,2020-07-14T11:11:53.958Z,2020-07-14 09:12:10.542803,Error uploading data,analysis
124,69823,2020-07-14T07:30:00.001Z,2020-07-14T08:00:00.001Z,2020-07-14 09:39:55.399322,Completed,analysis
125,69823,2020-07-14T07:30:00.001Z,2020-07-14T08:00:00.001Z,2020-07-14 09:43:02.736043,Completed,analysis
126,69823,2020-07-13T07:30:00.001Z,2020-07-13T08:00:00.001Z,2020-07-14 09:47:04.103228,Completed,analysis
127,69823,2020-07-14T07:30:00.001Z,2020-07-14T08:00:00.001Z,2020-07-14 09:49:49.439363,Completed,analysis
128,69823,2020-07-14T08:00:00.001Z,2020-07-14T08:30:00.001Z,2020-07-14 10:19:49.787599,Completed,analysis
129,69823,2020-07-14T08:30:00.001Z,2020-07-14T09:00:00.001Z,2020-07-14 10:49:51.204698,Completed,analysis
130,69823,2020-07-14T09:00:00.001Z,2020-07-14T09:30:00.001Z,2020-07-14 11:19:51.518488,Completed,analysis
131,69823,2020-07-14T09:30:00.001Z,2020-07-14T10:00:00.001Z,2020-07-14 11:49:51.880328,Completed,analysis
132,69823,2020-07-14T10:00:00.001Z,2020-07-14T10:30:00.001Z,2020-07-14 12:19:52.144139,Completed,analysis
133,69823,2020-07-14T10:30:00.001Z,2020-07-14T11:00:00.001Z,2020-07-14 12:49:52.425498,Completed,analysis
134,69823,2020-07-14T11:00:00.001Z,2020-07-14T11:30:00.001Z,2020-07-14 13:19:53.004084,Completed,analysis
135,69823,2020-07-14T11:30:00.001Z,2020-07-14T12:00:00.001Z,2020-07-14 13:49:53.274253,Completed,analysis
136,69823,2020-07-14T12:00:00.001Z,2020-07-14T12:30:00.001Z,2020-07-14 14:19:53.690493,Completed,analysis
137,69823,2020-07-14T12:30:00.001Z,2020-07-14T13:00:00.001Z,2020-07-14 14:49:54.202015,Completed,analysis
138,69823,2020-07-14T13:00:00.001Z,2020-07-14T13:30:00.001Z,2020-07-14 15:20:26.754204,Completed,analysis
139,69823,2020-07-14T13:30:00.001Z,2020-07-14T14:00:00.001Z,2020-07-15 05:55:40.248643,Completed,analysis
140,69823,2020-07-15T05:30:00.001Z,2020-07-15T06:00:00.001Z,2020-07-15 06:02:57.081375,Completed,analysis
141,69823,2020-07-15T06:00:00.001Z,2020-07-15T06:30:00.001Z,2020-07-15 06:32:57.409518,Completed,analysis
142,69823,2020-07-15T06:30:00.001Z,2020-07-15T07:00:00.001Z,2020-07-15 07:02:57.681078,Completed,analysis
143,69823,2020-07-15T07:00:00.001Z,2020-07-15T07:30:00.001Z,2020-07-15 07:32:57.947010,Completed,analysis
144,69823,2020-07-15T07:30:00.001Z,2020-07-15T08:00:00.001Z,2020-07-15 08:02:58.185130,Completed,analysis
145,69823,2020-07-15T08:00:00.001Z,2020-07-15T08:30:00.001Z,2020-07-15 08:32:58.490880,Completed,analysis
146,69823,2020-07-15T08:30:00.001Z,2020-07-15T09:00:00.001Z,2020-07-15 09:02:58.729145,Completed,analysis
147,69823,2020-07-15T09:00:00.001Z,2020-07-15T09:30:00.001Z,2020-07-15 09:32:58.955101,Completed,analysis
148,69823,2020-07-15T09:30:00.001Z,2020-07-15T10:00:00.001Z,2020-07-15 10:02:59.248296,Completed,analysis
149,69823,2020-07-15T10:00:00.001Z,2020-07-15T10:30:00.001Z,2020-07-15 10:32:59.485791,Completed,analysis
150,69823,2020-07-15T10:30:00.001Z,2020-07-15T11:00:00.001Z,2020-07-15 11:03:00.122770,Completed,analysis
151,69823,2020-07-15T11:00:00.001Z,2020-07-15T11:30:00.001Z,2020-07-15 11:33:00.453473,Completed,analysis
152,69823,2020-07-15T11:30:00.001Z,2020-07-15T12:00:00.001Z,2020-07-15 12:03:00.790966,Completed,analysis
153,69823,2020-07-15T12:00:00.001Z,2020-07-15T12:30:00.001Z,2020-07-15 12:33:01.043260,Completed,analysis
154,69823,2020-07-15T12:30:00.001Z,2020-07-15T13:00:00.001Z,2020-07-15 13:03:01.460089,Completed,analysis
155,69823,2020-07-15T13:00:00.001Z,2020-07-15T13:30:00.001Z,2020-07-15 13:33:01.743227,Completed,analysis
156,69823,2020-07-15T13:30:00.001Z,2020-07-15T14:00:00.001Z,2020-07-15 14:03:02.241250,Completed,analysis
157,69823,2020-07-15T14:00:00.001Z,2020-07-15T14:30:00.001Z,2020-07-15 14:33:02.558358,Completed,analysis
158,69823,2020-07-15T14:30:00.001Z,2020-07-15T15:00:00.001Z,2020-07-15 15:03:02.868671,Completed,analysis
159,69823,2020-07-16T05:30:00.001Z,2020-07-16T06:00:00.001Z,2020-07-16 10:05:51.794027,Completed,analysis
160,69823,2020-07-16T06:00:00.001Z,2020-07-16T06:30:00.001Z,2020-07-16 10:35:52.051977,Completed,analysis
161,69823,2020-07-16T06:30:00.001Z,2020-07-16T07:00:00.001Z,2020-07-16 11:05:52.309212,Completed,analysis
162,69823,2020-07-16T07:00:00.001Z,2020-07-16T07:30:00.001Z,2020-07-16 11:35:52.564817,Completed,analysis
163,69823,2020-07-16T07:30:00.001Z,2020-07-16T08:00:00.001Z,2020-07-16 12:05:52.802684,Completed,analysis
164,69823,2020-07-16T08:00:00.001Z,2020-07-16T08:30:00.001Z,2020-07-16 12:35:53.084261,Completed,analysis
165,69823,2020-07-16T08:30:00.001Z,2020-07-16T09:00:00.001Z,2020-07-16 13:05:53.313105,Completed,analysis
166,69823,2020-07-16T09:00:00.001Z,2020-07-16T09:30:00.001Z,2020-07-16 13:35:53.529917,Completed,analysis
167,69823,2020-07-16T09:30:00.001Z,2020-07-16T10:00:00.001Z,2020-07-16 14:05:53.795301,Completed,analysis
168,69823,2020-07-16T10:00:00.001Z,2020-07-16T10:30:00.001Z,2020-07-16 14:35:54.141390,Completed,analysis
169,69823,2020-07-17T05:30:00.001Z,2020-07-17T06:00:00.001Z,2020-07-17 05:45:03.488652,Completed,analysis
170,69823,2020-07-17T06:00:00.001Z,2020-07-17T06:30:00.001Z,2020-07-17 06:15:03.825305,Completed,analysis
171,69823,2020-07-17T06:30:00.001Z,2020-07-17T07:00:00.001Z,2020-07-17 06:45:04.118360,Completed,analysis
172,69823,2020-07-17T07:00:00.001Z,2020-07-17T07:30:00.001Z,2020-07-17 07:15:04.349694,Completed,analysis
173,69823,2020-07-17T07:30:00.001Z,2020-07-17T08:00:00.001Z,2020-07-17 07:45:04.614424,Completed,analysis
174,69823,2020-07-17T08:00:00.001Z,2020-07-17T08:30:00.001Z,2020-07-17 08:15:04.874187,Completed,analysis
175,69823,2020-07-17T08:30:00.001Z,2020-07-17T09:00:00.001Z,2020-07-17 08:45:05.118956,Completed,analysis
176,69823,2020-07-17T09:00:00.001Z,2020-07-17T09:30:00.001Z,2020-07-17 09:15:05.370689,Completed,analysis
177,69823,2020-07-17T09:30:00.001Z,2020-07-17T10:00:00.001Z,2020-07-17 09:45:05.945768,Completed,analysis
178,69823,2020-07-17T10:00:00.001Z,2020-07-17T10:30:00.001Z,2020-07-17 10:15:06.233610,Error uploading data,analysis
179,69823,2020-07-17T10:30:00.001Z,2020-07-17T11:00:00.001Z,2020-07-17 10:45:06.753317,Error uploading data,analysis
180,69823,2020-07-20T05:30:00.001Z,2020-07-20T06:00:00.001Z,2020-07-20 10:43:20.497619,Completed,analysis
181,69823,2020-07-20T06:00:00.001Z,2020-07-20T06:30:00.001Z,2020-07-20 11:13:20.777994,Completed,analysis
182,69823,2020-07-20T06:30:00.001Z,2020-07-20T07:00:00.001Z,2020-07-20 11:43:21.007311,Completed,analysis
183,69823,2020-07-20T07:00:00.001Z,2020-07-20T07:30:00.001Z,2020-07-20 12:13:21.316018,Completed,analysis
184,69823,2020-07-20T07:30:00.001Z,2020-07-20T08:00:00.001Z,2020-07-20 12:43:21.526765,Completed,analysis
185,69823,2020-07-20T08:00:00.001Z,2020-07-20T08:30:00.001Z,2020-07-20 13:13:21.751327,Completed,analysis
186,69823,2020-07-20T08:30:00.001Z,2020-07-20T09:00:00.001Z,2020-07-20 13:43:22.002759,Completed,analysis
187,69823,2020-07-20T09:00:00.001Z,2020-07-20T09:30:00.001Z,2020-07-20 14:13:22.231858,Completed,analysis
188,69823,2020-07-20T09:30:00.001Z,2020-07-20T10:00:00.001Z,2020-07-20 14:43:22.470457,Completed,analysis
189,69823,2020-07-20T10:00:00.001Z,2020-07-20T10:30:00.001Z,2020-07-20 15:13:22.731141,Completed,analysis
190,69823,2020-07-20T10:30:00.001Z,2020-07-20T11:00:00.001Z,2020-07-20 15:43:22.956628,Completed,analysis
191,69823,2020-07-20T11:00:00.001Z,2020-07-20T11:30:00.001Z,2020-07-20 16:13:23.181826,Completed,analysis
192,69823,2020-07-20T11:30:00.001Z,2020-07-20T12:00:00.001Z,2020-07-20 16:43:23.421939,Completed,analysis
193,69823,2020-07-20T12:00:00.001Z,2020-07-20T12:30:00.001Z,2020-07-20 17:13:23.677230,Error uploading data,analysis
194,69823,2020-07-20T12:30:00.001Z,2020-07-20T13:00:00.001Z,2020-07-20 17:43:23.908095,Error uploading data,analysis
195,69823,2020-07-20T13:00:00.001Z,2020-07-20T13:30:00.001Z,2020-07-20 18:13:24.129293,Error uploading data,analysis
196,69823,2020-07-20T13:30:00.001Z,2020-07-20T14:00:00.001Z,2020-07-20 18:43:24.402028,Error uploading data,analysis
197,69823,2020-07-20T14:00:00.001Z,2020-07-20T14:30:00.001Z,2020-07-20 19:13:24.660060,Error uploading data,analysis
198,69823,2020-07-20T14:30:00.001Z,2020-07-20T15:00:00.001Z,2020-07-20 19:43:24.944392,Error uploading data,analysis
199,69823,2020-07-20T15:00:00.001Z,2020-07-20T15:30:00.001Z,2020-07-20 20:13:25.189283,Error uploading data,analysis
200,69823,2020-07-20T15:30:00.001Z,2020-07-20T16:00:00.001Z,2020-07-20 20:43:25.425155,Error uploading data,analysis
201,69823,2020-07-20T16:00:00.001Z,2020-07-20T16:30:00.001Z,2020-07-21 05:29:06.858534,Error uploading data,analysis
202,69823,2020-07-21T06:00:00.001Z,2020-07-21T06:30:00.001Z,2020-07-21 05:34:38.047098,Error uploading data,analysis
203,69823,2020-07-21T06:30:00.001Z,2020-07-21T07:00:00.001Z,2020-07-21 06:04:38.265165,Error uploading data,analysis
204,69823,2020-07-21T07:00:00.001Z,2020-07-21T07:30:00.001Z,2020-07-21 06:34:38.527146,Error uploading data,analysis
205,69823,2020-07-21T07:30:00.001Z,2020-07-21T08:00:00.001Z,2020-07-21 07:04:38.774917,Error uploading data,analysis
206,69823,2020-07-21T08:00:00.001Z,2020-07-21T08:30:00.001Z,2020-07-21 07:34:39.004828,Error uploading data,analysis
207,69823,2020-07-21T08:30:00.001Z,2020-07-21T09:00:00.001Z,2020-07-21 08:28:54.482041,Error uploading data,analysis
208,69823,2020-07-21T06:30:00.001Z,2020-07-21T07:00:00.001Z,2020-07-21 08:31:37.464276,Completed,analysis
209,69823,2020-07-21T07:00:00.001Z,2020-07-21T07:30:00.001Z,2020-07-21 09:01:37.771636,Completed,analysis
210,69823,2020-07-21T07:30:00.001Z,2020-07-21T08:00:00.001Z,2020-07-21 09:31:38.028216,Completed,analysis
211,69823,2020-07-21T08:00:00.001Z,2020-07-21T08:30:00.001Z,2020-07-21 10:01:38.250377,Completed,analysis
212,69823,2020-07-21T08:30:00.001Z,2020-07-21T09:00:00.001Z,2020-07-21 10:31:38.845283,Completed,analysis
213,69823,2020-07-21T09:00:00.001Z,2020-07-21T09:30:00.001Z,2020-07-21 11:01:39.076487,Completed,analysis
214,69823,2020-07-21T09:30:00.001Z,2020-07-21T10:00:00.001Z,2020-07-21 11:31:39.348952,Completed,analysis
215,69823,2020-07-21T10:00:00.001Z,2020-07-21T10:30:00.001Z,2020-07-21 12:01:39.585879,Completed,analysis
216,69823,2020-07-21T10:30:00.001Z,2020-07-21T11:00:00.001Z,2020-07-21 12:31:39.806775,Completed,analysis
217,69823,2020-07-21T11:00:00.001Z,2020-07-21T11:30:00.001Z,2020-07-21 13:01:40.085717,Completed,analysis
218,69823,2020-07-21T11:30:00.001Z,2020-07-21T12:00:00.001Z,2020-07-21 13:31:40.299292,Completed,analysis
219,69823,2020-07-21T12:00:00.001Z,2020-07-21T12:30:00.001Z,2020-07-21 14:01:40.521319,Completed,analysis
220,69823,2020-07-21T12:30:00.001Z,2020-07-21T13:00:00.001Z,2020-07-21 14:31:40.822183,Error uploading data,analysis
221,69823,2020-07-21T13:00:00.001Z,2020-07-21T13:30:00.001Z,2020-07-21 22:35:12.989195,Error uploading data,analysis
222,69823,2020-07-22T05:30:00.001Z,2020-07-22T06:00:00.001Z,2020-07-22 05:53:45.360655,Completed,analysis
223,69823,2020-07-22T06:00:00.001Z,2020-07-22T06:30:00.001Z,2020-07-22 06:23:45.587233,Completed,analysis
224,69823,2020-07-22T06:30:00.001Z,2020-07-22T07:00:00.001Z,2020-07-22 06:53:45.852734,Completed,analysis
225,69823,2020-07-22T07:00:00.001Z,2020-07-22T07:30:00.001Z,2020-07-22 07:23:46.109306,Completed,analysis
226,69823,,,2020-07-22 07:40:14.555665,Processing,build_model
227,69823,,,2020-07-22 07:50:29.813441,Processing,build_model
228,69823,,,2020-07-22 08:01:57.541074,Processing,build_model
229,69823,2020-07-22T08:30:00.001Z,2020-07-22T09:00:00.001Z,2020-07-22 08:06:35.212021,Error uploading data,analysis
230,69823,,,2020-07-22 08:08:16.158706,Processing,build_model
231,69823,2020-07-22T09:00:00.001Z,2020-07-22T09:30:00.001Z,2020-07-22 08:36:35.466450,Error uploading data,analysis
232,69823,,,2020-07-22 08:42:19.523265,Processing,build_model
233,69823,,,2020-07-22 08:43:02.053470,Processing,build_model
234,69823,,,2020-07-22 08:44:13.464497,Processing,build_model
235,69823,,,2020-07-22 08:45:16.478811,Processing,build_model
236,69823,2020-07-22T09:30:00.001Z,2020-07-22T10:00:00.001Z,2020-07-22 09:06:35.732082,Completed,analysis
237,69823,2020-07-22T10:00:00.001Z,2020-07-22T10:30:00.001Z,2020-07-22 09:36:35.961155,Completed,analysis
238,69823,2020-07-22T10:30:00.001Z,2020-07-22T11:00:00.001Z,2020-07-22 10:06:36.215776,Completed,analysis
239,69823,2020-07-22T11:00:00.001Z,2020-07-22T11:30:00.001Z,2020-07-22 10:36:36.542414,Completed,analysis
240,69823,2020-07-22T11:30:00.001Z,2020-07-22T12:00:00.001Z,2020-07-22 11:06:37.072338,Completed,analysis
241,69823,2020-07-22T12:00:00.001Z,2020-07-22T12:30:00.001Z,2020-07-22 11:36:37.352370,Completed,analysis
242,69823,2020-07-22T12:30:00.001Z,2020-07-22T13:00:00.001Z,2020-07-22 12:06:37.595243,Error uploading data,analysis
243,69823,2020-07-22T13:00:00.001Z,2020-07-22T13:30:00.001Z,2020-07-22 12:36:37.859299,Error uploading data,analysis
244,69823,2020-07-22T13:30:00.001Z,2020-07-22T14:00:00.001Z,2020-07-22 13:06:38.124769,Error uploading data,analysis
